Full path,Name,Type,Size,Created,Accessed,Modified,Status
Numbers/More than 100 MB.txt~,More than 100 MB,.txt~,10180243,2017/04/15 19:30:16,2017/05/01 13:17:17,2017/04/15 19:30:07,
Numbers/One to Ten in 3 levels of zip (total 7 times each number).zip,One to Ten in 3 levels of zip (total 7 times each number),.zip,1806,2017/04/28 08:55:00,2017/05/01 13:17:19,2017/04/28 08:45:23,
Numbers/1 to 10 - Non-whole-words.txt,1 to 10 - Non-whole-words,.txt,92,2017/04/15 15:48:08,2017/05/01 13:17:17,2017/04/02 11:40:41,
Numbers/More than 30 MB.txt,More than 30 MB,.txt,30540730,2017/04/15 21:32:41,2017/05/01 13:17:17,2017/04/15 21:32:40,
Numbers/One to Five.txt~,One to Five,.txt~,0,2017/04/25 18:06:04,2017/04/25 18:05:48,2017/04/25 18:05:21,
Numbers/Number Four - Variations.txt~,Number Four - Variations,.txt~,116,2017/04/17 13:03:22,2017/05/01 13:17:17,2017/04/17 13:03:13,
Numbers/More than 30 MB.txt~,More than 30 MB,.txt~,10180243,2017/04/15 21:32:41,2017/05/01 13:17:17,2017/04/15 19:30:16,
Numbers/More than 10 MB.txt,More than 10 MB,.txt,10488074,2017/04/17 10:08:59,2017/05/01 13:17:18,2017/04/17 10:08:59,
Numbers/1 to 10 - Capitalized x 3.txt,1 to 10 - Capitalized x 3,.txt,167,2017/04/15 15:48:39,2017/05/01 13:17:17,2017/04/02 14:07:36,
Numbers/nada,nada,,1000,2017/04/17 10:02:24,2017/05/01 13:17:18,2017/04/17 10:02:24,
Numbers/Archivo de un poco más de 100 MB.txt~,Archivo de un poco más de 100 MB,.txt~,9637308,2017/04/09 16:44:13,2017/05/01 13:17:17,2017/04/09 16:43:28,
Numbers/.gitignore,.gitignore,,73,2017/05/01 13:24:15,2017/05/01 13:24:15,2017/05/01 13:10:29,
Numbers/Archivo muy grande con numeros.txt~,Archivo muy grande con numeros,.txt~,0,2017/04/09 16:37:54,2017/04/16 11:46:18,2017/04/09 16:36:52,
Numbers/1 to 10 - lowercase.txt,1 to 10 - lowercase,.txt,61,2017/04/15 15:47:38,2017/05/01 13:17:17,2017/03/31 13:34:17,
Numbers/Six to Ten.txt~,Six to Ten,.txt~,24,2017/04/25 18:06:25,2017/05/01 13:17:19,2017/04/25 18:06:04,
Numbers/Application2.exe,Application2,.exe,36,2017/04/09 19:29:57,2017/05/01 13:17:17,2017/04/09 19:29:47,
Numbers/one to ten.txt~,one to ten,.txt~,0,2017/04/28 08:42:10,2017/04/28 08:41:49,2017/04/28 08:41:27,
Numbers/1 to 10 - Capitalized.txt,1 to 10 - Capitalized,.txt,61,2017/04/15 15:48:18,2017/05/01 13:17:17,2017/03/31 13:34:58,
Numbers/One to Ten.zip,One to Ten,.zip,385,2017/04/25 18:07:13,2017/05/01 13:17:19,2017/04/25 18:07:13,
Numbers/nada~,nada~,,600,2017/04/17 10:02:24,2017/05/01 13:17:18,2017/04/17 10:02:16,
Numbers/one to Ten Spreadsheet.xlsx,one to Ten Spreadsheet,.xlsx,5077,2017/04/28 13:16:08,2017/05/01 13:17:19,2017/04/28 13:16:08,
Numbers/Special characters in name áéíóúñüçÁÉÍÓÚÑÜç.txt,Special characters in name áéíóúñüçÁÉÍÓÚÑÜç,.txt,182,2017/04/20 18:38:57,2017/05/01 13:17:19,2017/04/20 18:38:57,
Numbers/Special characters in name áéíóúñüçÁÉÍÓÚÑÜç.txt~,Special characters in name áéíóúñüçÁÉÍÓÚÑÜç,.txt~,0,2017/04/19 20:10:34,2017/04/19 20:09:57,2017/04/19 20:09:15,
Numbers/Application1.txt~,Application1,.txt~,0,2017/04/09 19:29:47,2017/04/16 11:46:19,2017/04/09 19:29:27,
Numbers/1 to 10 plain and with styles.docx,1 to 10 plain and with styles,.docx,5523,2017/04/17 18:54:27,2017/05/01 13:17:19,2017/04/17 18:54:27,
